surface	legacy_id	location
controls	btnIntelAddDefaultCorrelation	stage-checks@L2688
controls	btnIntelAddDefaultShock	stage-checks@L2713
controls	btnIntelApplyTopRecommendation	stage-checks@L2730
controls	btnIntelBenchmarkLoadDefaults	stage-checks@L2537
controls	btnIntelBenchmarkSave	stage-checks@L2538
controls	btnIntelCalibrationCopy	stage-checks@L2632
controls	btnIntelCalibrationGenerate	stage-checks@L2631
controls	btnIntelCaptureObserved	stage-checks@L2728
controls	btnIntelEvidenceAttach	stage-checks@L2600
controls	btnIntelGenerateRecommendations	stage-checks@L2729
controls	btnIntelImportCorrelationJson	stage-checks@L2689
controls	btnIntelImportShockJson	stage-checks@L2714
controls	btnIntelParseWhatIf	stage-checks@L2743
controls	intelAuditSelect	stage-checks@L2572
controls	intelBenchmarkDefault	stage-checks@L2500
controls	intelBenchmarkHardAbove	stage-checks@L2520
controls	intelBenchmarkMax	stage-checks@L2510
controls	intelBenchmarkMin	stage-checks@L2506
controls	intelBenchmarkRaceType	stage-checks@L2490
controls	intelBenchmarkRef	stage-checks@L2469
controls	intelBenchmarkSourceNotes	stage-checks@L2529
controls	intelBenchmarkSourceTitle	stage-checks@L2524
controls	intelBenchmarkWarnAbove	stage-checks@L2514
controls	intelBriefKind	stage-checks@L2624
controls	intelCalibrationBriefContent	stage-checks@L2762
controls	intelCapacityDecayEnabled	stage-checks@L2665
controls	intelCorrelatedShocks	stage-checks@L2648
controls	intelCorrelationJson	stage-checks@L2695
controls	intelCorrelationMatrixId	stage-checks@L2655
controls	intelCriticalChangeNote	stage-checks@L2453
controls	intelDecayFloorPct	stage-checks@L2682
controls	intelDecayModelType	stage-checks@L2672
controls	intelDecayWeeklyPct	stage-checks@L2678
controls	intelEvidenceCapturedAt	stage-checks@L2588
controls	intelEvidenceNotes	stage-checks@L2597
controls	intelEvidenceSource	stage-checks@L2584
controls	intelEvidenceTitle	stage-checks@L2578
controls	intelEvidenceUrl	stage-checks@L2592
controls	intelMcDistribution	stage-checks@L2639
controls	intelRequireCriticalEvidence	stage-checks@L2440
controls	intelRequireCriticalNote	stage-checks@L2432
controls	intelScenarioLockReason	stage-checks@L2449
controls	intelScenarioLocked	stage-checks@L2424
controls	intelShockJson	stage-checks@L2720
controls	intelShockScenariosEnabled	stage-checks@L2701
controls	intelWhatIfInput	stage-checks@L2745
district	bandWidth	stage-ballot@L365
district	btnAddCandidate	stage-ballot@L293
district	btnCensusApplyGeoPaste	stage-checks@L2128
district	btnCensusClearMap	stage-checks@L2402
district	btnCensusClearRaceFootprint	stage-checks@L2307
district	btnCensusClearSelection	stage-checks@L2134
district	btnCensusDeleteSelectionSet	stage-checks@L2388
district	btnCensusDownloadElectionCsvTemplate	stage-checks@L2340
district	btnCensusDownloadElectionCsvWideTemplate	stage-checks@L2341
district	btnCensusElectionCsvClear	stage-checks@L2352
district	btnCensusElectionCsvDryRun	stage-checks@L2351
district	btnCensusExportAggregateCsv	stage-checks@L2147
district	btnCensusExportAggregateJson	stage-checks@L2148
district	btnCensusFetchRows	stage-checks@L2110
district	btnCensusLoadGeo	stage-checks@L2109
district	btnCensusLoadMap	stage-checks@L2401
district	btnCensusLoadSelectionSet	stage-checks@L2387
district	btnCensusMapQaVtdZipClear	stage-checks@L2410
district	btnCensusSaveSelectionSet	stage-checks@L2378
district	btnCensusSelectAll	stage-checks@L2133
district	btnCensusSetRaceFootprint	stage-checks@L2306
district	btnExportTargetingCsv	stage-checks@L2281
district	btnExportTargetingJson	stage-checks@L2282
district	btnRunTargeting	stage-checks@L2280
district	btnTargetingResetWeights	stage-checks@L2277
district	censusAcsYear	stage-checks@L2066
district	censusAdvisoryTbody	stage-checks@L2157
district	censusAggregateTbody	stage-checks@L2142
district	censusApiKey	stage-checks@L2062
district	censusApplyAdjustmentsToggle	stage-checks@L2313
district	censusCountyFips	stage-checks@L2087
district	censusElectionCsvFile	stage-checks@L2346
district	censusElectionCsvPrecinctFilter	stage-checks@L2358
district	censusElectionCsvPreviewTbody	stage-checks@L2367
district	censusGeoPaste	stage-checks@L2127
district	censusGeoSearch	stage-checks@L2121
district	censusGeoSelect	stage-checks@L2131
district	censusMapQaVtdToggle	stage-checks@L2398
district	censusMapQaVtdZip	stage-checks@L2408
district	censusMetricSet	stage-checks@L2102
district	censusPlaceFips	stage-checks@L2093
district	censusResolution	stage-checks@L2072
district	censusSelectionSetName	stage-checks@L2377
district	censusSelectionSetSelect	stage-checks@L2384
district	censusStateFips	stage-checks@L2081
district	censusTractFilter	stage-checks@L2122
district	electionDate	stage-setup@L162
district	mode	stage-setup@L178
district	raceType	stage-setup@L149
district	retentionFactor	stage-structure@L950
district	sourceNote	stage-universe@L248
district	targetingAvoidHighMultiUnit	stage-checks@L2244
district	targetingDensityFloor	stage-checks@L2250
district	targetingGeoLevel	stage-checks@L2194
district	targetingMinHousingUnits	stage-checks@L2216
district	targetingMinPopulation	stage-checks@L2220
district	targetingMinScore	stage-checks@L2224
district	targetingModelId	stage-checks@L2201
district	targetingOnlyRaceFootprint	stage-checks@L2229
district	targetingPrioritizeRenters	stage-checks@L2239
district	targetingPrioritizeYoung	stage-checks@L2234
district	targetingResultsTbody	stage-checks@L2298
district	targetingTopN	stage-checks@L2210
district	targetingWeightFieldEfficiency	stage-checks@L2273
district	targetingWeightPersuasionIndex	stage-checks@L2269
district	targetingWeightTurnoutOpportunity	stage-checks@L2265
district	targetingWeightVotePotential	stage-checks@L2261
district	turnoutA	stage-ballot@L353
district	turnoutB	stage-ballot@L361
district	undecidedMode	stage-ballot@L327
district	undecidedPct	stage-ballot@L313
district	universe16DemPct	stage-structure@L932
district	universe16Enabled	stage-structure@L923
district	universe16NpaPct	stage-structure@L940
district	universe16OtherPct	stage-structure@L944
district	universe16RepPct	stage-structure@L936
district	universeBasis	stage-universe@L237
district	universeSize	stage-universe@L229
district	weeksRemaining	stage-setup@L170
district	yourCandidate	stage-ballot@L298
outcome	btnComputeSurface	stage-results@L1272
outcome	callsPerHour3	stage-results@L1036
outcome	channelDoorPct	stage-results@L1028
